Nombre cientifico,Nombre comun,Clase
Accipiter bicolor,Gavilan,Ave
Agalichnys callidrias,Rana ojos rojos,Reptil
Agalychnis anae,Rana verde,Reptil
Agapormis personatus,Agapormis,Ave
Agapornis personata,Agapornis,Ave
Alouatta palliata,Mono congo,Mamifero
Amazona albifrons,Lora frente blanca,Ave
Amazona albifrons,Loro copete blanco,Ave
Amazona auropaliata,Lora nuca amarilla,Ave
Amazona autumalis,Lora copete rojo,Ave
Amazona farinosa,Lora copete negro,Ave
Anas platyhynches domesticus,Pato,Ave
Anas platyhynchos domesticus,Patos,Ave
Ara macao,Lapa roja,Ave
Ardea alba,Ave garza,Ave
Asio clamator,Buho listado,Ave
Atelerix albiventris,Erizo,Mamifero
Aulacorhynchus prasinus,Tucan esmeralda,Ave
Boa constrictor,Boa,Reptil
Boa imperator,Becker,Reptil
Bothriechis schleggeri,Serpiente bocaraca,Reptil
Bothrops asper,Serpiente terciopelo,Reptil
Brotogeris jugularis,Perico zapoyol,Ave
Buteo platypterus,Gavilan,Ave
Butorides virescens,Garza verde pichon,Ave
Butorides virescenses,Garzilla verde,Ave
Campylorhynchus rufinucha,Chico piojo,Ave
Caprimulgus ruficolis,Guardacaminos,Ave
Catharus ustulatus,Zorzal de swainson,Ave
Choleopus hoffmanii,Perezozo,Mamifero
Choloepus hoffmani,Oso perezoso,Mamifero
Choloepus hoffmanni,Perezoso de dedos,Mamifero
Clochlearius clochlearius,Chocuaco,Ave
Cobaya abisina,Cuillo,Mamifero
Cohendou mexicanum,Puerco espin,Mamifero
Colibri,Colibri,Ave
Columba livia,Paloma castilla plumita,Ave
Columba livia+,Paloma,Ave
Columbina inca,Tortolita,Ave
Dasypus novencintus,Armadillo,Mamifero
Dendrocygna autunmalis,Patos pichis,Ave
Diadelphis marsupialis,Zarigueya,Mamifero
Eira barbara,Tolomuco,Mamifero
Erithrolampus bizona,Coral falsa brillante,Reptil
Eupsitula canicularis,Catano frente naranja,Ave
Eupsitulla nana,Perico azteca,Ave
Gallus gallus,Gallo jardinero,Ave
Glaucidium brasilianum,Buho pigmeu,Ave
Glaucydium brasiliensis,Buho pigmeo,Ave
Holcosus cuadrilineatus,Ameiva cuatro lineas,Reptil
Iguana iguana,Iguana,Reptil
Kinosternon scorpioides,Candado escorpion,Reptil
Kinosternon scorpoides,Tortuga escorpion,Reptil
Kinosternum scorpiodes,Tortuga candado,Reptil
Kinosteron scorpiodes,Tortuga candado escorpion,Reptil
Kinosteron scorpioids,Tortuga candado,Mamifero
Leptodeira rhombifera,Serpiente caracolera,Reptil
Megascops choliba,Lechuza neotropical,Ave
Melanerpis hoffmanii,Pajaro carpintero,Ave
Melopsittacus undulatus,Perico de amor,Ave
Micrurus,Serpiente coral,Reptil
Micrurus sp,Coral venenosa,Reptil
Mimmus polyglottos,Cemontle,Ave
Molossidae,Murcielago insectivoro,Mamifero
Molossos,Murcielago,Ave
Molothrus bonariensis,Mirlo,Ave
Momotus momota,Pajaro bobo,Ave
Morfo,Mariposa,Arthropodo
N/i,Murcielago,Mamifero
Nasua narica,Pizote,Mamifero
Ninia maculata,Serviente de tierra,Reptil
Notiochelidon cyanoleuca,Golondrina,Ave
Nymphicus holandicus,Cokatiel,Ave
Ortalis cinereips,Chachalaca,Ave
Oryctolagus cunicularis,Conejo,Mamifero
Oxybelis aeneus,Serpiente bejuquilla,Reptil
Pantherophis guttatus,Serpiente del maiz,Reptil
Paseriformes,Paseriformes,Ave
Paserr domesticus,Gorrion comun,Ave
Patagioenas flavirostris,Paloma morada,Ave
Phrynonax poecilonocus,Serpiente pajarera,Reptil
Piaya cayana,Cucu ardilla,Ave
Pionus senilis,Chacuyo,Ave
Pitangus sulfuratus,Pecho amarillo,Ave
Pogona vitiseps,Dragon barbudo,Reptil
Porthidium nasutum,Tamaga,Reptil
Procyin lotor,Mapache,Mamifero
Procyoin lotor,Mapaches,Mamifero
Psitacara finschi,Catano frente roja,Ave
Psittacara finchi,catano frenteroja,Ave
Psittacara finschi,Catano rojo,Ave
Pteroglossus frantzi,Tucan collarejo,Ave
Quiscalus mexicanus,Zanate,Ave
Rhinoclemis pulcherrima,Tortuga coralito,Mamifero
Rhynoclemis funerea,Tortuga negra,Reptil
Rhynoclemis pulcherrima,Tortuga coralillo,Reptil
Rinhoclemys pulcherrima,Tortuga coralito,Reptil
Scirius variegatoides,Ardilla,Mamifero
Senticolis triaspis,Serviente ranera,Reptil
Sibon nebulatus,Serpiente caracolera,Reptil
Streptoprocne zonaris,Vencejo,Ave
Tamandua mexicana,Oso hormiguero,Mamifero
Tantillita lintoni,Serpiente comeciempies,Reptil
Thraupis episcopus,Viudita,Ave
Tiaris olivaceus,Gallito,Ave
Tolomyias assimilis,Ave,Ave
Trachemis elegans,Tortuga orejas amarillas,Reptil
Trachemis scripta,Tortuga orejas amarilla,Reptil
Trachemis scripta elegants,Tortuga orejas rojas,Reptil
Trachemys scripta,Tortugas orejas amarillas,Reptil
Trachemys scripta elegans,Tortuga oreja rojas,Reptil
Traupis episcupus,"Posible viudita, identificar",Ave
Troglodytes aedon,Soterrey cucarachero,Ave
Turdus graey,Yiguirro,Ave
Zenaida asiatica,Paloma aliblanca,Ave
Zonotricha capensis,Come maiz,Ave